show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Music & Musicals,Classic Movies,Documentaries,Sci-Fi & Fantasy,Faith & Spirituality,Thrillers,Dramas,Action & Adventure,Independent Movies,Cult Movies,LGBTQ Movies,Movies,Sports Movies,Children & Family Movies,Horror Movies,Comedies,Stand-Up Comedy,International Movies,Romantic Movies,avg_dur
s6736,Fallen,Gregory Hoblit,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy",2019-11-01,1998,R,124,Thrillers,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106
s6744,Fear and Loathing in Las Vegas,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Ellen Barkin, Gary Busey, Christina Ricci, Mark Harmon, Cameron Diaz, Katherine Helmond, Michael Jeter, Craig Bierko, Lyle Lovett, Flea, Christopher Meloni, Harry Dean Stanton, Tim Thomerson",2019-11-01,1998,R,118,"Comedies, Cult Movies, Dramas",15.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,106
s6747,Fiddler on the Roof,Norman Jewison,"Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris, Michele Marsh, Neva Small, Paul Michael Glaser, Ray Lovelock",2020-07-01,1971,G,181,"Classic Movies, Dramas, Music & Musicals",17.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,92
s6754,Final Destination,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Seann William Scott, Tony Todd, Daniel Roebuck, Chad Donella, Roger Guenveur Smith, Amanda Detmer",2020-01-01,2000,R,98,"Cult Movies, Horror Movies, Thrillers",13.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,106
s6763,Fishtail,Andrew Renzi,Harry Dean Stanton,2018-10-01,2015,NR,61,Documentaries,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
s6777,For Colored Girls,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton, Anika Noni Rose, Kerry Washington, Tessa Thompson, Phylicia Rashad, Whoopi Goldberg, Omari Hardwick, Macy Gray, Michael Ealy, Richard Lawson, Hill Harper, Khalil Kain",2020-05-01,2010,R,134,Dramas,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106
s6782,For the Love of Benji,Joe Camp,"Patsy Garrett, Cynthia Smith, Allen Fiuzat, Ed Nelson, Art Vasil, Peter Bowles, Bridget Armstrong, Mihalis Lambrinos, Dean Goss, Tony Alatis",2018-03-06,1977,G,84,Children & Family Movies,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,92
s6785,Forbidden Planet,Fred M. Wilcox,"Leslie Nielsen, Walter Pidgeon, Anne Francis, Jack Kelly, Warren Stevens, James Drury, Earl Holliman",2019-11-01,1956,G,98,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",15.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92
s6798,Fred Claus,David Dobkin,"Vince Vaughn, Paul Giamatti, John Michael Higgins, Miranda Richardson, Rachel Weisz, Kathy Bates, Trevor Peacock, Ludacris, Elizabeth Banks",2021-01-01,2007,PG,115,"Children & Family Movies, Comedies",11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,84
s6805,Friday the 13th,Marcus Nispel,"Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo, Derek Mears, Jonathan Sadowski, Julianna Guill, Ben Feldman, Arlen Escarpeta, Ryan Hansen",2020-01-01,2009,R,97,Horror Movies,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,106
